"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 12 19:55:26 UTC 2025","Tue Aug 12 19:55:55 UTC 2025","29465","","com.zerobank.project.ZeroBank7Test","","com.zerobank.project.ZeroBank7Test","paragraphTextValueTestMixedAssertions","paragraphTextValueTestMixedAssertions(Quest)","COMPONENTS: Button, Input, Link, List, Validate, Select"
"passed","Tue Aug 12 19:56:10 UTC 2025","Tue Aug 12 19:56:36 UTC 2025","25786","","com.zerobank.project.ZeroBank2Test","","com.zerobank.project.ZeroBank2Test","tableWithLinkComponentAssert","tableWithLinkComponentAssert(Quest)","COMPONENTS: Button, Input, Link, List, Validate, Select, Table"
"passed","Tue Aug 12 19:56:09 UTC 2025","Tue Aug 12 19:56:45 UTC 2025","36014","","com.zerobank.project.ZeroBank4Test","","com.zerobank.project.ZeroBank4Test","paragraphTextValueTestMixedAssertions","paragraphTextValueTestMixedAssertions(Quest)","COMPONENTS: Button, Input, Link, List, Validate, Select"
"passed","Tue Aug 12 19:55:26 UTC 2025","Tue Aug 12 19:55:56 UTC 2025","30420","","com.zerobank.project.ZeroBank7Test","","com.zerobank.project.ZeroBank7Test","tableAssert","tableAssert(Quest)","COMPONENTS: Button, Input, Link, List, Validate, Select, Table"
"passed","Tue Aug 12 19:55:26 UTC 2025","Tue Aug 12 19:55:49 UTC 2025","23256","","com.zerobank.project.ZeroBank7Test","","com.zerobank.project.ZeroBank7Test","alertTest","alertTest(Quest)","COMPONENTS: Button, Input, Link, Select, Alert"
"passed","Tue Aug 12 19:56:34 UTC 2025","Tue Aug 12 19:56:45 UTC 2025","10939","","com.zerobank.project.ZeroBank2Test","","com.zerobank.project.ZeroBank2Test","tableWithButtonCustomServiceClickElementWithSearchCriteriaAssert","tableWithButtonCustomServiceClickElementWithSearchCriteriaAssert(Quest)","COMPONENTS: Button, Input, Link, List, Validate, Select, Table"
"passed","Tue Aug 12 19:55:24 UTC 2025","Tue Aug 12 19:55:45 UTC 2025","20681","","com.zerobank.project.ZeroBank5Test","","com.zerobank.project.ZeroBank5Test","tableWithButtonCustomServiceReadRowWithSearchCriteriaAssert","tableWithButtonCustomServiceReadRowWithSearchCriteriaAssert(Quest)","COMPONENTS: Button, Input, Link, List, Validate, Select, Table"
"passed","Tue Aug 12 19:55:32 UTC 2025","Tue Aug 12 19:56:02 UTC 2025","29568","","com.zerobank.project.ZeroBank6Test","","com.zerobank.project.ZeroBank6Test","radioButtonTest","radioButtonTest(Quest)","COMPONENTS: Button, Input, Link, List, Select, Radio, Alert"
"passed","Tue Aug 12 19:55:26 UTC 2025","Tue Aug 12 19:55:56 UTC 2025","30043","","com.zerobank.project.ZeroBank7Test","","com.zerobank.project.ZeroBank7Test","tableWithButtonCustomServiceAssert","tableWithButtonCustomServiceAssert(Quest)","COMPONENTS: Button, Input, Link, List, Validate, Select, Table"
"passed","Tue Aug 12 19:56:10 UTC 2025","Tue Aug 12 19:56:34 UTC 2025","23806","","com.zerobank.project.ZeroBank2Test","","com.zerobank.project.ZeroBank2Test","tableFromToRowsCertainCellsAssert","tableFromToRowsCertainCellsAssert(Quest)","COMPONENTS: Button, Input, Link, List, Validate, Select, Table"
"passed","Tue Aug 12 19:55:27 UTC 2025","Tue Aug 12 19:55:47 UTC 2025","19976","","com.zerobank.project.ZeroBankTest","","com.zerobank.project.ZeroBankTest","tableWithButtonCustomServiceReadRowWithSearchCriteriaAssert","tableWithButtonCustomServiceReadRowWithSearchCriteriaAssert(Quest)","COMPONENTS: Button, Input, Link, List, Validate, Select, Table"
"passed","Tue Aug 12 19:55:24 UTC 2025","Tue Aug 12 19:55:47 UTC 2025","23037","","com.zerobank.project.ZeroBank5Test","","com.zerobank.project.ZeroBank5Test","alertTest","alertTest(Quest)","COMPONENTS: Button, Input, Link, Select, Alert"
"passed","Tue Aug 12 19:56:36 UTC 2025","Tue Aug 12 19:56:47 UTC 2025","10679","","com.zerobank.project.ZeroBank2Test","","com.zerobank.project.ZeroBank2Test","tableCertainCellsAssert","tableCertainCellsAssert(Quest)","COMPONENTS: Button, Input, Link, List, Validate, Select, Table"
